id,list_id,election_id,district_id,order,rol,nombre,elected,legislator_id,match_confidence,mandato_inicio,mandato_fin,foto
2019-buenos-aires-consenso-federal-s-01,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,1,suplente,"MARCO, JUAN CARLOS",false,,,,,
2019-buenos-aires-consenso-federal-s-02,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,2,suplente,"VILLALBA, GISELA VERONICA",false,,,,,
2019-buenos-aires-consenso-federal-s-03,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,3,suplente,"ROMANO, RUBEN ALBERTO",false,,,,,
2019-buenos-aires-consenso-federal-s-04,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,4,suplente,"LOPEZ, MARIANA",false,,,,,
2019-buenos-aires-consenso-federal-s-05,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,5,suplente,"ROMANO, RUBEN ALBERTO",false,,,,,
2019-buenos-aires-consenso-federal-01,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,1,titular,"CAMAÑO, GRACIELA",true,HCDN0173,exact,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0173.jpg
2019-buenos-aires-consenso-federal-02,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,2,titular,"RODRIGUEZ, ALEJANDRO ""TOPO""",true,HCDN2774,exact,2019-12-10,2023-12-09,
2019-buenos-aires-consenso-federal-03,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,3,titular,"SCHWINDT, MARIA LILIANA",false,,,,,
2019-buenos-aires-consenso-federal-04,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,4,titular,"ILLA, JORGE ARIEL",false,,,,,
2019-buenos-aires-consenso-federal-05,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,5,titular,"LOPEZ, MARIANELA",false,,,,,
2019-buenos-aires-consenso-federal-06,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,6,titular,"ROMERO, OSCAR ALBERTO",false,,,,,
2019-buenos-aires-consenso-federal-07,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,7,titular,"HALM, INES ANTONIA",false,,,,,
2019-buenos-aires-consenso-federal-08,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,8,titular,"PERAZZO, PABLO DANIEL",false,,,,,
2019-buenos-aires-consenso-federal-09,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,9,titular,"RICART, ALEJANDRA MARCELA",false,,,,,
2019-buenos-aires-consenso-federal-10,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,10,titular,"LOGARZO, FACUNDO MARTIN",false,,,,,
2019-buenos-aires-consenso-federal-11,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,11,titular,"SILVESTRE, MARCELA ALEJANDRA BIANCHI",false,,,,,
2019-buenos-aires-consenso-federal-12,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,12,titular,"MALVAR, ESTEBAN JAVIER PASCUAL DEL",false,,,,,
2019-buenos-aires-consenso-federal-13,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,13,titular,"BASINIANI, ANGELINA",false,,,,,
2019-buenos-aires-consenso-federal-14,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,14,titular,"ROZAS, MARTIN ADOLFO",false,,,,,
2019-buenos-aires-consenso-federal-15,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,15,titular,"SEJAS, MARCELA ELIZABETH",false,,,,,
2019-buenos-aires-consenso-federal-16,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,16,titular,"SCHMIDT, JUAN ANTONIO",false,,,,,
2019-buenos-aires-consenso-federal-17,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,17,titular,"NEGRO, PAULA LETICIA",false,,,,,
