legislator_id,nombre,distrito,bloque,mandato_inicio,mandato_fin,foto
HCDN1136,"Abdala de Matarazzo, Norma Amanda",Santiago del Estero,Frente Civico por Santiago,2009-12-10,2013-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1136.jpg
HCDN1136,"Abdala de Matarazzo, Norma Amanda",Santiago del Estero,Frente Civico por Santiago,2013-12-10,2017-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1136.jpg
HCDN1136,"Abdala de Matarazzo, Norma Amanda",Santiago del Estero,Frente de Todos,2017-12-10,2021-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1136.jpg
HCDN1382,"Abraham, Alejandro",Mendoza,Frente para la Victoria - Pj,2013-12-10,2017-12-09,
HCDN1441,"Acerenza, Samanta Maria Celeste",Buenos Aires,Pro,2015-12-10,2019-12-09,
HCDN0055,"Acevedo, Sergio",Santa Cruz,Por Santa Cruz,2021-12-10,2025-09-15,
HCDN0970,"Acosta, Maria Julia",Catamarca,Frente para la Victoria - Pj,2007-12-10,2011-12-09,
HCDN3018,"Agost Carreño, Oscar",Córdoba,Encuentro Federal,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3018.jpg
HCDN0971,"Agosto, Walter Alfredo",Santa Fe,Peronismo Federal,2007-12-10,2011-12-09,
HCDN0845,"Aguad, Oscar Raul",Córdoba,Ucr,2009-12-10,2013-12-09,
HCDN0845,"Aguad, Oscar Raul",Córdoba,Ucr,2013-12-10,2015-12-09,
HCDN3166,"Aguero, Guillermo Cesar",Chaco,Ucr - Unión Cívica Radical,2025-12-10,2029-12-09,
HCDN1232,"Aguilar, Lino Walter",San Luis,Compromiso Federal,2011-12-10,2015-12-09,
HCDN0972,"Aguirre, Hilda",La Rioja,Frente para la Victoria - Pj,2007-12-10,2011-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0972.jpg
HCDN0972,"Aguirre, Hilda",La Rioja,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0972.jpg
HCDN0972,"Aguirre, Hilda",La Rioja,Unión por la Patria,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN0972.jpg
HCDN2959,"Aguirre, Manuel Ignacio",Corrientes,Democracia para Siempre,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2959.jpg
HCDN2349,"Aicega, Juan",Buenos Aires,Pro,2017-12-10,2021-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2349.jpg
HCDN2916,"Ajmechet, Sabrina",CABA,La Libertad Avanza,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2916.jpg
HCDN2916,"Ajmechet, Sabrina",CABA,La Libertad Avanza,2025-12-10,2029-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2916.jpg
HCDN1101,"Albarracin, Jorge Luis",Mendoza,Ucr,2009-12-10,2013-12-09,
HCDN1572,"Albornoz, Gabriela Romina",Jujuy,Ucr,2013-12-10,2017-12-09,
HCDN1137,"Albrieu, Oscar Edmundo Nicolas",Río Negro,Frente para la Victoria - Pj,2009-12-10,2013-12-01,
HCDN0163,"Albrisi, Cesar Alfredo",Córdoba,Peronismo Federal,2007-12-10,2010-04-14,
HCDN1068,"Alcuaz, Horacio Alberto",Buenos Aires,Gen,2007-12-10,2011-12-09,
HCDN2859,"Alderete, Juan Carlos",Buenos Aires,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2859.jpg
HCDN1338,"Alegre, Gilberto Oscar",Buenos Aires,Federal Unidos por una Nueva Argentina,2013-12-10,2017-12-09,
HCDN0973,"Alfaro, German Enrique",Tucumán,Frente para la Victoria - Pj,2007-12-10,2011-10-21,
HCDN1138,"Alfonsin, Ricardo Luis",Buenos Aires,Ucr,2009-12-10,2013-12-09,
HCDN1138,"Alfonsin, Ricardo Luis",Buenos Aires,Ucr,2013-12-10,2017-12-09,
HCDN3140,"Ali, Ernesto Pipi",San Luis,Unión por la Patria,2023-12-10,2027-12-09,
HCDN2912,"Alianiello, Eugenia",Chubut,Unión por la Patria,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2912.jpg
