id,nombre,distrito,source,foto
HCDN1136,"Abdala de Matarazzo, Norma Amanda",Santiago del Estero,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1136.jpg
HCDN1382,"Abraham, Alejandro",Mendoza,argentinadatos,
HCDN1441,"Acerenza, Samanta Maria Celeste",Buenos Aires,argentinadatos,
HCDN0055,"Acevedo, Sergio",Santa Cruz,argentinadatos,
vote-acevedo-sergio-edgardo,"Acevedo, Sergio Edgardo",,votes,
HCDN0970,"Acosta, Maria Julia",Catamarca,argentinadatos,
HCDN3018,"Agost Carreño, Oscar",Córdoba,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN3018.jpg
HCDN0971,"Agosto, Walter Alfredo",Santa Fe,argentinadatos,
HCDN0845,"Aguad, Oscar Raul",Córdoba,argentinadatos,
HCDN3166,"Aguero, Guillermo Cesar",Chaco,argentinadatos+hcdn,
HCDN1232,"Aguilar, Lino Walter",San Luis,argentinadatos,
HCDN0972,"Aguirre, Hilda",La Rioja,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN0972.jpg
HCDN2959,"Aguirre, Manuel Ignacio",Corrientes,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2959.jpg
HCDN2349,"Aicega, Juan",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2349.jpg
HCDN2916,"Ajmechet, Sabrina",CABA,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN2916.jpg
HCDN1101,"Albarracin, Jorge Luis",Mendoza,argentinadatos,
HCDN1572,"Albornoz, Gabriela Romina",Jujuy,argentinadatos,
HCDN1137,"Albrieu, Oscar Edmundo Nicolas",Río Negro,argentinadatos,
HCDN0163,"Albrisi, Cesar Alfredo",Córdoba,argentinadatos,
HCDN1068,"Alcuaz, Horacio Alberto",Buenos Aires,argentinadatos,
HCDN2859,"Alderete, Juan Carlos",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2859.jpg
HCDN1338,"Alegre, Gilberto Oscar",Buenos Aires,argentinadatos,
HCDN0973,"Alfaro, German Enrique",Tucumán,argentinadatos,
HCDN1138,"Alfonsin, Ricardo Luis",Buenos Aires,argentinadatos,
HCDN3140,"Ali, Ernesto Pipi",San Luis,argentinadatos+hcdn,
HCDN2912,"Alianiello, Eugenia",Chubut,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2912.jpg
HCDN1222,"Alizegui, Antonio Anibal",Entre Ríos,argentinadatos,
HCDN2350,"Allende, Walberto",San Juan,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2350.jpg
HCDN3171,"Almena, Carlos Alberto",San Luis,argentinadatos+hcdn,
HCDN3029,"Almiron, Lisandro",Corrientes,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3029.jpg
HCDN2937,"Alonso, Constanza Maria",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2937.jpg
HCDN0733,"Alonso, Gumersindo Federico",Córdoba,argentinadatos,
HCDN1568,"Alonso, Horacio Fernando",Buenos Aires,argentinadatos,
HCDN1139,"Alonso, Laura",CABA,argentinadatos,
HCDN2351,"Alonso, Laura V.",Buenos Aires,argentinadatos,
HCDN1233,"Alonso, Maria Luz",La Pampa,argentinadatos,
HCDN2352,"Alume Sbodio, Karim Augusto",San Luis,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2352.jpg
HCDN0846,"Alvarez Rodriguez, Maria Cristina",Buenos Aires,argentinadatos,
HCDN3178,"Alvarez, Claudio",San Luis,argentinadatos+hcdn,
HCDN1140,"Alvarez, Elsa Maria",Santa Cruz,argentinadatos,
HCDN2790,"Alvarez, Felipe",La Rioja,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2790.jpg
HCDN1141,"Alvarez, Jorge Mario",Santa Fe,argentinadatos,
