id,election_id,district_id,alliance,alliance_code,name
2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,CONSENSO FEDERAL,504,CONSENSO FEDERAL
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,505,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD
2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,FRENTE DE TODOS,503,FRENTE DE TODOS
2019-buenos-aires-juntos-por-el-cambio,diputados-2019,Buenos Aires,JUNTOS POR EL CAMBIO,502,JUNTOS POR EL CAMBIO
2019-caba-autodeterminacion-y-libertad,diputados-2019,CABA,AUTODETERMINACIóN Y LIBERTAD,187,AUTODETERMINACIóN Y LIBERTAD
2019-caba-consenso-federal,diputados-2019,CABA,CONSENSO FEDERAL,504,CONSENSO FEDERAL
2019-caba-frente-de-izquierda-y-de-los-trabajadores-unidad,diputados-2019,CABA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - UNIDAD,501,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - UNIDAD
2019-caba-frente-de-todos,diputados-2019,CABA,FRENTE DE TODOS,502,FRENTE DE TODOS
2019-caba-juntos-por-el-cambio,diputados-2019,CABA,JUNTOS POR EL CAMBIO,503,JUNTOS POR EL CAMBIO
2019-caba-unite-por-la-libertad-y-la-dignidad,diputados-2019,CABA,UNITE POR LA LIBERTAD Y LA DIGNIDAD,179,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019-catamarca-consenso-federal,diputados-2019,Catamarca,CONSENSO FEDERAL,504,CONSENSO FEDERAL
2019-catamarca-frente-de-todos,diputados-2019,Catamarca,FRENTE DE TODOS,503,FRENTE DE TODOS
2019-catamarca-juntos-por-el-cambio,diputados-2019,Catamarca,JUNTOS POR EL CAMBIO,506,JUNTOS POR EL CAMBIO
2019-chaco-accion-chaquena,diputados-2019,Chaco,ACCION CHAQUEÑA,156,ACCION CHAQUEÑA
2019-chaco-consenso-federal,diputados-2019,Chaco,CONSENSO FEDERAL,504,CONSENSO FEDERAL
2019-chaco-frente-de-todos,diputados-2019,Chaco,FRENTE DE TODOS,501,FRENTE DE TODOS
2019-chaco-juntos-por-el-cambio,diputados-2019,Chaco,JUNTOS POR EL CAMBIO,503,JUNTOS POR EL CAMBIO
2019-chubut-chubut-al-frente,diputados-2019,Chubut,CHUBUT AL FRENTE,502,CHUBUT AL FRENTE
2019-chubut-frente-de-izquierda,diputados-2019,Chubut,FRENTE DE IZQUIERDA,504,FRENTE DE IZQUIERDA
