candidate_id,list_id,election_id,district_id,legislator_id,match_confidence,mandato,mandato_inicio,mandato_fin,bloque_hcdn,electo_nombre
2019-cordoba-juntos-por-el-cambio-01,2019-cordoba-juntos-por-el-cambio,diputados-2019,Córdoba,HCDN0035,exact,2019-2023,2019-12-10,2023-12-09,Ucr,"Negri, Mario Raul"
2019-buenos-aires-consenso-federal-01,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,HCDN0173,exact,2019-2023,2019-12-10,2023-12-09,Consenso Federal,"Camaño, Graciela"
2019-san-juan-frente-de-todos-san-juan-01,2019-san-juan-frente-de-todos-san-juan,diputados-2019,San Juan,HCDN0298,exact,2019-2023,2019-12-10,2023-12-09,Frente de Todos,"Gioja, Jose Luis"
2019-tierra-del-fuego-vamos-todos-a-vivir-mejor-01,2019-tierra-del-fuego-vamos-todos-a-vivir-mejor,diputados-2019,Tierra del Fuego,HCDN0543,exact,2019-2023,2019-12-10,2023-12-09,Frente de Todos,"Caparros, Mabel Luisa"
2019-tierra-del-fuego-frente-de-todos-01,2019-tierra-del-fuego-frente-de-todos,diputados-2019,Tierra del Fuego,HCDN0581,exact,2019-2023,2019-12-10,2023-12-09,Frente de Todos,"Bertone, Rosana Andrea"
2019-entre-rios-frente-de-todos-02,2019-entre-rios-frente-de-todos,diputados-2019,Entre Ríos,HCDN0633,exact,2019-2023,2019-12-10,2023-12-09,Frente de Todos,"Osuna, Blanca Ines"
2019-buenos-aires-juntos-por-el-cambio-01,2019-buenos-aires-juntos-por-el-cambio,diputados-2019,Buenos Aires,HCDN0788,fuzzy,2019-2023,2019-12-10,2023-12-09,Pro,"Ritondo, Cristian A."
2019-misiones-frente-renovador-de-la-concordia-01,2019-misiones-frente-renovador-de-la-concordia,diputados-2019,Misiones,HCDN0791,exact,2019-2023,2019-12-10,2023-12-09,Frente de la Concordia Misionero,"Sartori, Diego Horacio"
2019-buenos-aires-frente-de-todos-04,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,HCDN0846,exact,2019-2023,2019-12-10,2021-09-21,Frente de Todos,"Alvarez Rodriguez, Maria Cristina"
2019-santiago-del-estero-frente-civico-por-santiago-01,2019-santiago-del-estero-frente-civico-por-santiago,diputados-2019,Santiago del Estero,HCDN0859,exact,2019-2023,2019-12-10,2023-12-09,Frente de Todos,"Brue, Daniel Agustin"
2019-mendoza-cambia-mendoza-01,2019-mendoza-cambia-mendoza,diputados-2019,Mendoza,HCDN0870,exact,2019-2023,2019-12-10,2021-12-09,Ucr,"Cornejo, Alfredo Victor"
2019-mendoza-cambia-mendoza-03,2019-mendoza-cambia-mendoza,diputados-2019,Mendoza,HCDN0871,exact,2019-2023,2019-12-10,2023-12-09,Pro,"De Marchi, Omar"
2019-jujuy-frente-de-todos-01,2019-jujuy-frente-de-todos,diputados-2019,Jujuy,HCDN0903,exact,2019-2023,2019-12-10,2023-12-09,Frente de Todos,"Moises, Maria Carolina"
2019-caba-juntos-por-el-cambio-07,2019-caba-juntos-por-el-cambio,diputados-2019,CABA,HCDN0926,exact,2019-2023,2019-12-10,2023-12-09,Pro,"Tonelli, Pablo Gabriel"
2019-la-rioja-frente-de-todos-02,2019-la-rioja-frente-de-todos,diputados-2019,La Rioja,HCDN0972,exact,2019-2023,2019-12-10,2023-12-09,Frente de Todos,"Aguirre, Hilda"
2019-san-juan-frente-de-todos-san-juan-02,2019-san-juan-frente-de-todos-san-juan,diputados-2019,San Juan,HCDN0982,exact,2019-2023,2019-12-10,2023-12-09,Frente de Todos,"Caselles, Graciela Maria"
2019-caba-frente-de-todos-04,2019-caba-frente-de-todos,diputados-2019,CABA,HCDN1073,exact,2019-2023,2019-12-10,2019-12-10,Frente de Todos,"Donda Perez, Victoria Analia"
2019-buenos-aires-frente-de-todos-01,2019-buenos-aires-frente-de-todos,diputados-2019,Buenos Aires,HCDN1107,exact,2019-2023,2019-12-10,2022-08-02,Frente de Todos,"Massa, Sergio Tomas"
2019-catamarca-frente-de-todos-01,2019-catamarca-frente-de-todos,diputados-2019,Catamarca,HCDN1119,exact,2019-2023,2019-12-10,2021-12-09,Frente de Todos,"Corpacci, Lucia Benigna"
2019-cordoba-juntos-por-el-cambio-05,2019-cordoba-juntos-por-el-cambio,diputados-2019,Córdoba,HCDN1121,exact,2019-2023,2019-12-10,2021-12-07,Pro,"Juez, Luis Alfredo"
2019-formosa-juntos-por-el-cambio-01,2019-formosa-juntos-por-el-cambio,diputados-2019,Formosa,HCDN1151,exact,2019-2023,2019-12-10,2023-12-09,Ucr,"Buryaile, Ricardo"
2019-buenos-aires-juntos-por-el-cambio-11,2019-buenos-aires-juntos-por-el-cambio,diputados-2019,Buenos Aires,HCDN1236,exact,2019-2023,2019-12-10,2023-12-09,Pro,"Asseff, Alberto"
2019-formosa-frente-de-todos-01,2019-formosa-frente-de-todos,diputados-2019,Formosa,HCDN1240,exact,2019-2023,2019-12-10,2019-12-10,Frente de Todos,"Basterra, Luis Eugenio"
2019-buenos-aires-juntos-por-el-cambio-03,2019-buenos-aires-juntos-por-el-cambio,diputados-2019,Buenos Aires,HCDN1241,exact,2019-2023,2019-12-10,2023-12-09,Ucr,"Bazze, Miguel Angel"
2019-caba-frente-de-todos-06,2019-caba-frente-de-todos,diputados-2019,CABA,HCDN1244,exact,2019-2023,2019-12-10,2023-12-09,Frente de Todos,"Brawer, Mara"
2019-santa-fe-frente-de-todos-01,2019-santa-fe-frente-de-todos,diputados-2019,Santa Fe,HCDN1250,exact,2019-2023,2019-12-10,2023-12-09,Frente de Todos,"Cleri, Marcos"
